"inc_borough","cong_dist","al_source_desc","al_index_desc","highest_al_level","inc_class_group","inc_resp_min_qy","engines_assigned","ladders_assigned","others_units_assigned","emergency_min_qy","day_type","working_hour","time_of_day","tua_is_one"
"Manhattan","13","PHONE","Initial Alarm","First Alarm","NonM_E",6.58333333333333,2,2,1,19.85,"Weekend","TRUE","Morning","FALSE"
"Manhattan","10","CLASS-3","Initial Alarm","First Alarm","NonM_E",5.56666666666667,1,1,1,14.2166666666667,"Weekend","TRUE","Morning","FALSE"
"Brooklyn","10","CLASS-3","Initial Alarm","First Alarm","NonM_E",4.7,1,1,0,43.7833333333333,"Weekend","TRUE","Morning","FALSE"
"Brooklyn","8","PHONE","Initial Alarm","First Alarm","NonM_E",3.3,1,1,0,5.61666666666667,"Weekend","TRUE","Morning","FALSE"
"Bronx","14","EMS","DEFAULT RECORD","First Alarm","M_E",3.26666666666667,1,0,0,2.2,"Weekend","TRUE","Morning","TRUE"
"Bronx","15","EMS","Initial Alarm","First Alarm","M_E",6.03333333333333,1,0,0,62.2666666666667,"Weekend","TRUE","Morning","TRUE"
"Staten Island","11","CLASS-3","Initial Alarm","First Alarm","NonM_E",3.4,1,1,0,40.6,"Weekend","TRUE","Morning","FALSE"
"Bronx","15","PHONE","Initial Alarm","First Alarm","NonM_E",12.6333333333333,0,1,0,13.8666666666667,"Weekend","TRUE","Morning","TRUE"
"Queens","7","EMS-911","Initial Alarm","First Alarm","M_E",4.01666666666667,1,0,0,10.5666666666667,"Weekend","TRUE","Morning","TRUE"
"Manhattan","12","EMS","DEFAULT RECORD","First Alarm","M_E",6.03333333333333,1,0,0,1.86666666666667,"Weekend","TRUE","Morning","TRUE"
"Brooklyn","10","PHONE","Initial Alarm","First Alarm","NonM_E",5.78333333333333,1,1,1,44.2,"Weekend","TRUE","Morning","FALSE"
"Brooklyn","8","PHONE","DEFAULT RECORD","First Alarm","NonM_MFAs",6.38333333333333,1,0,0,4.66666666666667,"Weekend","TRUE","Morning","TRUE"
"Bronx","15","PHONE","Initial Alarm","First Alarm","NonM_E",1.3,2,2,1,62.5166666666667,"Weekend","TRUE","Morning","FALSE"
"Brooklyn","9","PHONE","Initial Alarm","First Alarm","NonM_E",3.53333333333333,3,1,2,12.6,"Weekend","TRUE","Morning","FALSE"
